tool	context	sample_size	P95	dmpp_P95	speedup_vs_dmpp
BAllCools	CG	10	1.1	0.21	5.2
BAllCools	CG	20	1.91	0.22	8.7
BAllCools	CG	50	5.03	0.57	8.8
BAllCools	CG	100	10.06	1.07	9.4
BAllCools	CG	200	20.02	1.77	11.3
BAllCools	CG	500	49.67	5.54	9
BAllCools	CG	1000	95.27	4.17	22.8
BAllCools	CHG	10	1.1	0.21	5.2
BAllCools	CHG	20	1.91	0.1	19.1
BAllCools	CHG	50	5.03	0.56	9
BAllCools	CHG	100	10.07	0.96	10.5
BAllCools	CHG	200	20.02	1.77	11.3
BAllCools	CHG	500	49.42	5.45	9.1
BAllCools	CHG	1000	95.29	4.28	22.3
BAllCools	CHH	10	1.09	0.2	5.4
BAllCools	CHH	20	1.91	0.11	17.4
BAllCools	CHH	50	5.03	0.58	8.7
BAllCools	CHH	100	10.07	0.96	10.5
BAllCools	CHH	200	20.24	1.93	10.5
BAllCools	CHH	500	49.42	5.28	9.4
BAllCools	CHH	1000	74.28	10.58	7
