context_prev	context_next	byte_class	n	fraction
CG	CG	1 byte	30334331	1.0
CG	CHG	1 byte	10567625	0.9999999053713672
CG	CHG	2 bytes	1	9.462863276955487e-08
CG	CHH	1 byte	17712172	0.9999993789585394
CG	CHH	2 bytes	11	6.21041460558532e-07
CHG	CG	1 byte	10405008	0.9999998077849036
CHG	CG	2 bytes	1	9.610754819072735e-08
CHG	CG	3 bytes	1	9.610754819072735e-08
CHG	CHG	1 byte	128956028	0.9999999844908377
CHG	CHG	2 bytes	2	1.550916230904441e-08
CHG	CHH	1 byte	114287446	0.9999997287541836
CHG	CHH	2 bytes	27	2.3624635619526362e-07
CHG	CHH	3 bytes	4	3.499946017707609e-08
CHH	CG	1 byte	17874786	0.9999994405530558
CHH	CG	2 bytes	9	5.035022497599413e-07
CHH	CG	3 bytes	1	5.594469441777126e-08
CHH	CHG	1 byte	114124840	0.9999998247533447
CHH	CHG	2 bytes	18	1.57721989757534e-07
CHH	CHG	3 bytes	2	1.7524665528614888e-08
CHH	CHH	1 byte	755299310	0.9999992877001083
CHH	CHH	2 bytes	506	6.699326119816722e-07
CHH	CHH	3 bytes	30	3.971932482104776e-08
CHH	CHH	4 bytes	2	2.647954988069851e-09
