ballc	wgbstools	dmpp_dedup	dmpp_bam
mCFrac	ENCFF790EEU.dedup	mean_meth	mean_meth
1.000000	1.000000	1.000000	1.000000
0.100000	0.100000	0.111111	0.076923
0.900000	0.898734	0.900000	0.900000
0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000
NA	NA	NA	NA
0.750000	0.750000	0.750000	0.750000
0.038462	0.038462	0.038462	0.038462
0.408696	0.408696	0.408696	0.421488
0.766497	0.766497	0.768041	0.769231
0.294118	0.294118	0.294118	0.263158
0.049180	0.049180	0.049180	0.050847
0.746479	0.746479	0.751773	0.753333
0.791304	0.791304	0.787611	0.800000
NA	NA	NA	NA
NA	NA	NA	NA
0.545455	0.545455	0.545455	0.583333
NA	NA	NA	NA
0.955301	0.956397	0.955241	0.960854
0.833333	0.833333	0.833333	0.850000
0.963504	0.962963	0.963504	0.962963
NA	NA	NA	NA
NA	NA	NA	NA
0.000000	NA	0.000000	0.000000
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
0.909091	0.909091	0.909091	0.909091
0.545455	0.546099	0.557143	0.578571
0.260870	0.260870	0.260870	0.285714
0.000000	0.000000	0.000000	0.000000
0.606061	0.609756	0.664336	0.634409
0.350540	0.353083	0.352941	0.306818
0.422371	0.419815	0.431034	0.370282
0.566940	0.567308	0.584397	0.435424
0.670773	0.669673	0.687935	0.571664
0.675610	0.674447	0.691919	0.567282
0.449499	0.441824	0.458167	0.392857
0.893617	0.893617	0.893617	0.833333
0.909091	0.909091	0.909091	0.909091
1.000000	1.000000	1.000000	1.000000
0.044586	0.044586	0.044586	0.050955
1.000000	NA	1.000000	1.000000
NA	NA	NA	NA
0.570201	0.570201	0.562682	0.563187
0.894737	0.894444	0.894886	0.895480
0.631336	0.631336	0.625592	0.604651
0.953704	0.953271	0.953125	0.960961
0.233333	0.232323	0.248227	0.258865
0.096970	0.096970	0.097561	0.100000
0.032787	0.032787	0.034682	0.034286
0.087912	0.087912	0.088889	0.090909
0.409861	0.409302	0.407233	0.361367
0.615160	0.617647	0.591054	0.591054
0.163551	0.164319	0.145000	0.145000
0.305483	0.306283	0.311170	0.299492
0.142857	0.142857	0.149701	0.154762
0.018939	0.019011	0.018182	0.016701
0.012966	0.013008	0.014440	0.012750
0.867257	0.867953	0.872642	0.875188
0.371736	0.369800	0.347541	0.351974
0.377295	0.376667	0.388385	0.388385
0.003135	0.001572	0.003419	0.003425
0.007862	0.006289	0.003413	0.003419
0.794743	0.796129	0.797063	0.795039
0.286041	0.286697	0.290023	0.290698
0.312155	0.312155	0.307018	0.301075
0.944444	0.946292	0.942935	0.946381
0.046263	0.044723	0.041985	0.039931
0.206557	0.206557	0.208609	0.204545
0.272388	0.273408	0.266409	0.258065
0.183219	0.182456	0.180036	0.176056
0.908555	0.908555	0.921875	0.914373
0.313889	0.311978	0.302469	0.302115
0.538682	0.537356	0.519878	0.527697
0.660754	0.663717	0.664352	0.647948
0.642697	0.647191	0.652174	0.620690
0.406627	0.408537	0.425676	0.428094
0.351111	0.351111	0.352273	0.350000
0.389381	0.390533	0.395973	0.378462
0.857724	0.857724	0.871111	0.870130
0.785400	0.786957	0.789575	0.789323
0.152597	0.153094	0.156729	0.154221
0.755906	0.753968	0.758808	0.744681
0.957692	0.959459	0.956803	0.956427
0.273026	0.273026	0.271375	0.271375
0.103371	0.103371	0.098485	0.098485
0.885850	0.886770	0.887793	0.889151
0.870968	0.870968	0.863850	0.874419
0.926267	0.930394	0.935000	0.935961
0.020921	0.019027	0.009950	0.009950
0.248619	0.244444	0.277603	0.275229
0.982885	0.982801	0.986413	0.983827
0.936449	0.938086	0.939453	0.933333
0.572973	0.572973	0.568182	0.563380
