ballc	wgbstools	dmpp_dedup	dmpp_bam
mCFrac	ENCFF980QLU.dedup	mean_meth	mean_meth
NA	NA	1.000000	1.000000
NA	NA	1.000000	1.000000
NA	NA	1.000000	1.000000
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
0.976562	0.949219	0.936330	0.937956
0.742857	0.550725	0.540541	0.552632
0.855769	0.777778	0.754098	0.761905
0.948052	0.892241	0.893004	0.884774
0.848485	0.437500	0.457143	0.457143
0.777778	0.703704	0.684211	0.716981
0.950920	0.937888	0.881356	0.904523
0.974843	0.907975	0.896341	0.899371
NA	NA	NA	NA
NA	NA	NA	NA
0.666667	NA	0.666667	0.666667
NA	NA	NA	NA
0.859712	0.783883	0.776081	0.801394
1.000000	1.000000	1.000000	1.000000
0.959184	0.959184	0.979167	0.979167
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
0.916667	0.849624	0.846154	0.847222
0.857143	0.357143	0.409091	0.380952
1.000000	NA	0.666667	0.666667
0.980392	0.900000	0.809524	0.803030
0.489668	0.124436	0.117601	0.343049
0.750871	0.533624	0.382928	0.503710
0.922330	0.815182	0.783784	0.747720
0.921053	0.862881	0.858639	0.843836
0.915680	0.862426	0.857143	0.843615
0.755952	0.542808	0.392294	0.515273
1.000000	1.000000	1.000000	1.000000
NA	NA	NA	NA
0.800000	0.800000	0.857143	0.857143
0.813953	0.442748	0.405573	0.386431
1.000000	0.857143	0.888889	0.888889
NA	NA	1.000000	1.000000
0.838828	0.631970	0.624561	0.626761
0.895197	0.782609	0.788000	0.788000
0.659259	0.291971	0.290780	0.275362
0.931298	0.843511	0.845878	0.842491
0.841584	0.757282	0.767857	0.765766
0.819820	0.693694	0.679688	0.690476
0.816667	0.608696	0.559701	0.574627
0.834711	0.716667	0.711111	0.727941
0.829897	0.725888	0.730645	0.706250
0.706468	0.190955	0.187793	0.208145
0.807190	0.635484	0.623853	0.622356
0.676674	0.382831	0.368764	0.364629
0.634731	0.359756	0.333333	0.335106
0.625000	0.188235	0.224784	0.224658
0.541985	0.124352	0.160896	0.163386
0.894895	0.804805	0.792839	0.806683
0.805310	0.590664	0.579470	0.595432
0.610526	0.167742	0.155268	0.144578
0.511931	0.015217	0.011650	0.013699
0.502488	0.009917	0.007310	0.006974
0.910256	0.861897	0.854626	0.857360
0.644231	0.361022	0.354938	0.358255
0.917012	0.789030	0.772727	0.740157
0.951557	0.877622	0.863222	0.871720
0.631148	0.178112	0.181435	0.179752
0.726984	0.406349	0.390390	0.391931
0.759563	0.602210	0.604444	0.604545
0.653251	0.434251	0.455801	0.456522
0.825911	0.645570	0.632727	0.625430
0.749415	0.500000	0.505519	0.503311
0.729412	0.434650	0.454545	0.453039
0.849180	0.735099	0.741641	0.740299
0.903846	0.800781	0.792857	0.792857
0.943953	0.882006	0.880407	0.887755
0.867209	0.735294	0.739454	0.739659
0.732456	0.432314	0.422053	0.416058
0.873874	0.747748	0.740741	0.725564
0.910667	0.761589	0.745636	0.755051
0.614695	0.122995	0.113086	0.132013
0.693878	0.414966	0.361702	0.383085
0.945996	0.890741	0.883642	0.887205
0.755656	0.420091	0.415162	0.417266
0.656028	0.161290	0.197015	0.195783
0.940621	0.889959	0.878750	0.874206
0.791045	0.575000	0.563636	0.578947
0.919395	0.860406	0.844059	0.845411
0.658824	0.191038	0.162214	0.173038
0.622807	0.261062	0.238754	0.226351
0.939799	0.866667	0.853868	0.858824
0.906849	0.825137	0.813602	0.806789
0.880126	0.562500	0.545455	0.555556
0.940692	0.864909	0.856908	0.846032
0.248000	0.015873	0.036697	0.039648
0.945736	0.908517	0.902299	0.902817
0.805497	0.649462	0.638430	0.630390
0.623410	0.359296	0.365854	0.355609
0.921818	0.887884	0.882759	0.888889
0.590909	0.265985	0.256293	0.264237
0.639687	0.205729	0.199005	0.201493
0.773936	0.572005	0.555556	0.552493
0.706304	0.331878	0.318741	0.337302
0.750332	0.495302	0.481959	0.479791
0.859788	0.738903	0.715962	0.718310
0.753351	0.553763	0.561358	0.568475
0.928571	0.853070	0.859184	0.857422
0.543536	0.195822	0.196517	0.183168
0.623711	0.201031	0.182222	0.176211
0.877800	0.781443	0.769510	0.769663
0.603147	0.234783	0.243243	0.248311
0.921512	0.878477	0.864682	0.862291
0.789352	0.508159	0.506849	0.496957
0.878613	0.766382	0.726131	0.696203
0.598374	0.274194	0.273282	0.268680
0.673421	0.149412	0.183505	0.196182
0.945876	0.871728	0.875546	0.875576
0.662162	0.404545	0.384279	0.373950
0.886994	0.471215	0.472763	0.495463
0.671521	0.275362	0.292683	0.271242
0.637771	0.263844	0.257471	0.249448
0.724280	0.574380	0.600760	0.599237
0.660377	0.440299	0.433824	0.424242
0.866261	0.739264	0.718919	0.719677
0.957121	0.922256	0.914169	0.915119
0.892857	0.875000	0.875000	0.858824
0.908284	0.706745	0.691689	0.689840
0.972973	0.851351	0.783505	0.791667
0.741935	0.161290	0.225490	0.227723
0.781250	0.338710	0.303318	0.289362
0.791045	0.503817	0.547945	0.532468
0.717345	0.315789	0.286496	0.290780
0.527322	0.019663	0.020548	0.026087
0.862144	0.730088	0.743590	0.743833
0.620968	0.270492	0.257812	0.261818
0.780435	0.644737	0.677228	0.647679
0.872964	0.700658	0.696319	0.681818
0.834862	0.655556	0.623003	0.609477
0.440678	0.136519	0.155807	0.151741
0.796364	0.563177	0.524917	0.527183
0.950877	0.906690	0.900164	0.895009
0.937247	0.916836	0.912639	0.913919
0.562249	0.170732	0.164875	0.177305
0.918206	0.792553	0.806383	0.804878
0.456825	0.049180	0.045685	0.045685
0.733146	0.429775	0.416667	0.427374
0.925150	0.871951	0.854054	0.841360
0.885246	0.770325	0.771698	0.772128
0.978723	0.977273	0.977273	0.953488
0.565350	0.342508	0.352792	0.351145
0.678161	0.400000	0.348243	0.346154
0.944304	0.888889	0.883295	0.878860
0.823762	0.649402	0.651543	0.654479
0.851765	0.734300	0.749540	0.755859
0.567708	0.200000	0.175532	0.209756
0.686099	0.350000	0.295880	0.296820
0.797101	0.507353	0.456140	0.470930
0.825688	0.701357	0.699153	0.699588
0.827243	0.699324	0.696970	0.707246
0.810748	0.687059	0.690110	0.684902
0.919881	0.818991	0.820856	0.818919
0.645570	0.212903	0.207729	0.212560
0.860759	0.705128	0.682927	0.666667
0.924749	0.837479	0.820225	0.813223
0.837719	0.691630	0.678431	0.673004
0.625000	0.294118	0.291667	0.291667
0.897959	0.832168	0.828402	0.826087
0.874172	0.736383	0.738241	0.736419
0.952514	0.825967	0.814010	0.812500
0.914634	0.817073	0.809392	0.813333
0.546823	0.038529	0.036207	0.036269
0.616702	0.118162	0.128655	0.134146
0.866667	0.734043	0.728571	0.731449
0.852861	0.722527	0.698661	0.701987
0.846154	0.661327	0.653620	0.649123
0.910543	0.808777	0.791667	0.802632
0.656977	0.346821	0.321429	0.303665
0.857944	0.763501	0.763293	0.756993
0.863905	0.590361	0.474138	0.464135
0.848000	0.716000	0.724014	0.722973
0.736342	0.318735	0.307350	0.296460
0.605714	0.339181	0.319113	0.322148
0.824675	0.628009	0.629630	0.630252
0.641994	0.155922	0.153953	0.152875
0.861017	0.701695	0.679128	0.680000
0.898734	0.796178	0.781609	0.786517
0.851695	0.690987	0.674589	0.670932
0.885375	0.737052	0.700730	0.714286
0.919571	0.827957	0.801932	0.807425
0.634831	0.474576	0.353160	0.371324
0.815789	0.661972	0.662757	0.638591
0.952282	0.880412	0.870909	0.867784
0.941748	0.909091	0.904468	0.904239
0.750000	0.325397	0.329545	0.314286
0.762463	0.425656	0.439093	0.444126
0.697034	0.309979	0.324752	0.314115
0.554140	0.206897	0.218954	0.213058
0.920213	0.837696	0.830000	0.830918
0.841155	0.757353	0.776758	0.774194
0.862454	0.690840	0.672355	0.675768
0.835821	0.643939	0.651408	0.653710
0.864865	0.694981	0.679245	0.667925
0.913884	0.834783	0.818182	0.823241
0.839286	0.661871	0.638225	0.625000
0.823864	0.683908	0.666667	0.663102
0.816860	0.706422	0.701117	0.699187
0.486395	0.152778	0.155116	0.142857
0.937500	0.854460	0.842672	0.840959
0.928571	0.807692	0.821970	0.820312
0.833333	0.652174	0.653846	0.625000
0.886420	0.750630	0.749420	0.759524
0.670251	0.347670	0.376543	0.363057
0.868794	0.677656	0.661290	0.654723
0.807547	0.605948	0.615385	0.611307
0.794286	0.619318	0.615789	0.610526
0.851133	0.692557	0.693717	0.679688
0.897436	0.775510	0.769231	0.755000
0.972912	0.947248	0.943158	0.942268
0.591476	0.093518	0.086837	0.089952
0.874576	0.720690	0.691843	0.692547
0.588803	0.118774	0.124542	0.124760
0.865471	0.813953	0.829167	0.827004
0.673575	0.373684	0.354839	0.348624
0.843818	0.657267	0.662188	0.649524
0.827004	0.728551	0.740648	0.731415
0.599537	0.248276	0.252772	0.239130
0.569733	0.115502	0.098558	0.100000
0.633333	0.221154	0.250000	0.223368
0.909502	0.865471	0.858974	0.859504
0.600858	0.266376	0.274131	0.293388
0.580311	0.260417	0.245192	0.261538
0.437229	0.132743	0.128099	0.125000
0.860759	0.660256	0.694581	0.696262
0.454936	0.071730	0.068493	0.066225
0.922078	0.837719	0.829268	0.829960
0.735450	0.510638	0.485577	0.481308
0.823077	0.523256	0.554054	0.544262
0.919192	0.804124	0.790850	0.784512
0.823684	0.638814	0.638743	0.625000
0.588727	0.153684	0.167315	0.162476
0.778281	0.587444	0.585774	0.606299
0.615071	0.370600	0.340388	0.329011
0.672387	0.301711	0.313131	0.302594
0.902214	0.802947	0.775717	0.779487
0.920570	0.797131	0.769376	0.764822
0.840506	0.698492	0.693023	0.689655
0.848970	0.744240	0.746888	0.743158
0.694323	0.106335	0.100917	0.109215
0.616216	0.275926	0.288591	0.265905
0.986711	0.945946	0.940252	0.936909
0.857939	0.681440	0.662304	0.656992
0.781585	0.593952	0.583826	0.571429
0.918750	0.851613	0.848315	0.832335
0.935361	0.767176	0.762082	0.774545
0.961538	0.892070	0.878351	0.875776
0.878261	0.738938	0.730290	0.727660
0.843243	0.790055	0.777174	0.777778
0.805556	0.605714	0.583333	0.588542
0.820055	0.698895	0.689032	0.660714
0.939130	0.896861	0.887550	0.893443
0.699541	0.383721	0.287481	0.303030
0.880228	0.798479	0.803853	0.796064
0.905077	0.851770	0.847599	0.845824
0.883085	0.802993	0.793911	0.796651
0.785354	0.585052	0.578824	0.573086
0.824786	0.447826	0.419492	0.434426
0.934884	0.896714	0.895089	0.890869
0.954802	0.875000	0.877451	0.867647
0.945545	0.917763	0.887955	0.889362
0.703583	0.567921	0.572741	0.567485
0.562780	0.161215	0.133470	0.135802
0.845890	0.706294	0.702265	0.697987
0.958199	0.942675	0.923977	0.924419
0.904884	0.777778	0.771368	0.776596
0.925620	0.875346	0.865823	0.870098
0.952756	0.890957	0.879819	0.888393
0.921569	0.815642	0.807487	0.790576
0.901879	0.835417	0.840467	0.836257
0.943359	0.885880	0.889292	0.884892
0.693111	0.333333	0.277778	0.270968
0.510588	0.018735	0.017928	0.017613
