sample	method	step	gpu_util	wait_sec
10K	dmpp	4	100.0	0.005242347717285156
10K	dmpp	9	100.0	0.0030624866485595703
10K	dmpp	14	100.0	0.0046346187591552734
10K	dmpp	19	100.0	0.002914905548095703
10K	dmpp	24	100.0	0.005047798156738281
10K	dmpp	29	100.0	0.006738185882568359
10K	dmpp	34	100.0	0.00390625
10K	dmpp	39	100.0	0.0033674240112304688
10K	dmpp	44	100.0	0.005073070526123047
10K	dmpp	49	100.0	0.00962972640991211
10K	dmpp	54	100.0	0.005009889602661133
10K	dmpp	59	100.0	0.0028908252716064453
10K	dmpp	64	100.0	0.0041065216064453125
10K	dmpp	69	100.0	0.0037984848022460938
10K	dmpp	74	100.0	0.003994464874267578
10K	dmpp	79	94.0	0.012902498245239258
10K	dmpp	84	100.0	0.004060506820678711
10K	dmpp	89	100.0	0.004735708236694336
10K	dmpp	94	100.0	0.0044422149658203125
10K	dmpp	99	100.0	0.004089832305908203
10K	dmpp	104	100.0	0.004031181335449219
10K	dmpp	109	100.0	0.004280805587768555
10K	dmpp	114	77.0	0.07648825645446777
10K	dmpp	119	100.0	0.005200386047363281
10K	dmpp	124	100.0	0.00403285026550293
10K	dmpp	129	100.0	0.003842592239379883
10K	dmpp	134	100.0	0.004126787185668945
10K	dmpp	139	100.0	0.003991365432739258
10K	dmpp	144	100.0	0.004015684127807617
10K	dmpp	149	97.0	0.008443355560302734
10K	dmpp	154	100.0	0.006293296813964844
10K	dmpp	159	100.0	0.0030701160430908203
10K	dmpp	164	100.0	0.003975868225097656
10K	dmpp	169	100.0	0.004370689392089844
10K	dmpp	174	100.0	0.003972053527832031
10K	dmpp	179	98.0	0.0061032772064208984
10K	dmpp	184	100.0	0.004137516021728516
10K	dmpp	189	100.0	0.004010438919067383
10K	dmpp	194	100.0	0.005133628845214844
10K	dmpp	199	100.0	0.0033676624298095703
10K	dmpp	204	100.0	0.003751516342163086
10K	dmpp	209	100.0	0.004355430603027344
10K	dmpp	214	100.0	0.0040090084075927734
10K	dmpp	219	100.0	0.004036426544189453
10K	dmpp	224	100.0	0.0037937164306640625
10K	dmpp	229	100.0	0.0039746761322021484
10K	dmpp	234	100.0	0.004045009613037109
10K	dmpp	239	100.0	0.0041463375091552734
10K	dmpp	244	100.0	0.004223823547363281
10K	dmpp	249	100.0	0.0041103363037109375
10K	dmpp	254	100.0	0.004090309143066406
10K	dmpp	259	100.0	0.0042269229888916016
10K	dmpp	264	100.0	0.003926992416381836
10K	dmpp	269	100.0	0.004266262054443359
10K	dmpp	274	100.0	0.0040013790130615234
10K	dmpp	279	100.0	0.004087924957275391
10K	dmpp	284	100.0	0.004235267639160156
10K	dmpp	289	100.0	0.004037141799926758
10K	dmpp	294	100.0	0.006152629852294922
10K	dmpp	299	99.0	0.004606008529663086
10K	dmpp	304	100.0	0.0042896270751953125
10K	dmpp	309	100.0	0.004051923751831055
10K	dmpp	314	96.0	0.009737730026245117
10K	dmpp	319	100.0	0.0038018226623535156
10K	dmpp	324	100.0	0.003718852996826172
10K	dmpp	329	100.0	0.004010438919067383
10K	dmpp	334	100.0	0.00334930419921875
10K	dmpp	339	100.0	0.0037162303924560547
10K	dmpp	344	100.0	0.00722503662109375
10K	dmpp	349	100.0	0.003922462463378906
10K	dmpp	354	100.0	0.003901243209838867
10K	dmpp	359	100.0	0.003831148147583008
10K	dmpp	364	100.0	0.004556179046630859
10K	dmpp	369	100.0	0.0040209293365478516
10K	dmpp	374	100.0	0.0037915706634521484
10K	dmpp	379	100.0	0.004030466079711914
10K	dmpp	384	100.0	0.01240992546081543
10K	dmpp	389	100.0	0.004237651824951172
10K	dmpp	394	100.0	0.003951549530029297
10K	dmpp	399	100.0	0.008374691009521484
10K	dmpp	404	100.0	0.0037517547607421875
10K	dmpp	409	100.0	0.00694584846496582
10K	dmpp	414	98.0	0.004784107208251953
10K	dmpp	419	100.0	0.004928112030029297
10K	dmpp	424	94.0	0.01242208480834961
10K	dmpp	429	100.0	0.00398707389831543
10K	dmpp	434	100.0	0.05617260932922363
10K	dmpp	439	100.0	0.0037178993225097656
10K	dmpp	444	100.0	0.003715038299560547
10K	dmpp	449	100.0	0.004092216491699219
10K	dmpp	454	100.0	0.003988027572631836
10K	dmpp	459	100.0	0.0036911964416503906
10K	dmpp	464	100.0	0.0077626705169677734
10K	dmpp	469	100.0	0.0046160221099853516
10K	dmpp	474	100.0	0.003987550735473633
10K	dmpp	479	100.0	0.003785848617553711
10K	dmpp	484	100.0	0.006238222122192383
10K	dmpp	489	100.0	0.0029058456420898438
10K	dmpp	494	100.0	0.003915309906005859
10K	dmpp	499	100.0	0.0038259029388427734
10K	dmpp	504	100.0	0.004009723663330078
10K	dmpp	509	100.0	0.004006147384643555
10K	dmpp	514	100.0	0.003810882568359375
10K	dmpp	519	95.0	0.009758234024047852
10K	dmpp	524	100.0	0.0037832260131835938
10K	dmpp	529	100.0	0.0039882659912109375
10K	dmpp	534	100.0	0.003490924835205078
10K	dmpp	539	100.0	0.003795146942138672
10K	dmpp	544	100.0	0.003846406936645508
10K	dmpp	549	100.0	0.003117084503173828
10K	dmpp	554	100.0	0.0038301944732666016
10K	dmpp	559	100.0	0.003956794738769531
10K	dmpp	564	100.0	0.0039484500885009766
10K	dmpp	569	95.0	0.05352616310119629
10K	dmpp	574	100.0	0.0039522647857666016
10K	dmpp	579	100.0	0.015499591827392578
10K	dmpp	584	100.0	0.003694772720336914
10K	dmpp	589	100.0	0.003854513168334961
10K	dmpp	594	100.0	0.004254579544067383
10K	dmpp	599	100.0	0.003883838653564453
10K	dmpp	604	100.0	0.003958940505981445
10K	dmpp	609	100.0	0.0033979415893554688
10K	dmpp	614	100.0	0.003882169723510742
10K	dmpp	619	100.0	0.0038251876831054688
10K	dmpp	624	100.0	0.004338741302490234
10K	dmpp	629	100.0	0.00391840934753418
10K	dmpp	634	100.0	0.003898143768310547
10K	dmpp	639	100.0	0.008954286575317383
10K	dmpp	644	100.0	0.003701925277709961
10K	dmpp	649	100.0	0.0034956932067871094
10K	dmpp	654	100.0	0.0037980079650878906
10K	dmpp	659	100.0	0.003780841827392578
10K	dmpp	664	100.0	0.003783702850341797
10K	dmpp	669	100.0	0.0039637088775634766
10K	dmpp	674	100.0	0.003767728805541992
10K	dmpp	679	100.0	0.003962039947509766
10K	dmpp	684	100.0	0.003737211227416992
10K	dmpp	689	100.0	0.004045963287353516
10K	dmpp	694	100.0	0.0037398338317871094
10K	dmpp	699	100.0	0.005406856536865234
10K	dmpp	704	100.0	0.003743886947631836
10K	dmpp	709	100.0	0.0032415390014648438
10K	dmpp	714	100.0	0.0030961036682128906
10K	dmpp	719	100.0	0.0037620067596435547
10K	dmpp	724	100.0	0.0037810802459716797
10K	dmpp	729	95.0	0.01086115837097168
10K	dmpp	734	100.0	0.0073854923248291016
10K	dmpp	739	100.0	0.004839181900024414
10K	dmpp	744	100.0	0.003709077835083008
10K	dmpp	749	100.0	0.037793874740600586
10K	dmpp	754	99.0	0.004063844680786133
10K	dmpp	759	100.0	0.0038652420043945312
10K	dmpp	764	100.0	0.004564762115478516
10K	dmpp	769	100.0	0.003984689712524414
10K	dmpp	774	100.0	0.0037941932678222656
10K	dmpp	779	100.0	0.003849506378173828
10K	dmpp	784	100.0	0.003760814666748047
10K	dmpp	789	100.0	0.005290985107421875
10K	dmpp	794	100.0	0.004296064376831055
10K	dmpp	799	100.0	0.0031862258911132812
10K	dmpp	804	100.0	0.004087924957275391
10K	dmpp	809	100.0	0.009090423583984375
10K	dmpp	814	100.0	0.003968715667724609
10K	dmpp	819	100.0	0.0030384063720703125
10K	dmpp	824	100.0	0.0038022994995117188
10K	dmpp	829	100.0	0.00406956672668457
10K	dmpp	834	100.0	0.004053354263305664
10K	dmpp	839	97.0	0.007560014724731445
10K	dmpp	844	100.0	0.009943246841430664
10K	dmpp	849	100.0	0.0047855377197265625
10K	dmpp	854	100.0	0.0037195682525634766
10K	dmpp	859	100.0	0.010573625564575195
10K	dmpp	864	100.0	0.003802061080932617
10K	dmpp	869	100.0	0.0057413578033447266
10K	dmpp	874	100.0	0.0037927627563476562
10K	dmpp	879	100.0	0.003851652145385742
10K	dmpp	884	100.0	0.0042111873626708984
10K	dmpp	889	100.0	0.0040149688720703125
10K	dmpp	894	100.0	0.0038046836853027344
10K	dmpp	899	100.0	0.0037784576416015625
10K	dmpp	904	100.0	0.002890348434448242
10K	dmpp	909	100.0	0.004015684127807617
10K	dmpp	914	100.0	0.004180431365966797
10K	dmpp	919	100.0	0.003997087478637695
10K	dmpp	924	100.0	0.004048824310302734
10K	dmpp	929	90.0	0.12024879455566406
10K	dmpp	934	100.0	0.0038526058197021484
10K	dmpp	939	100.0	0.003849506378173828
10K	dmpp	944	100.0	0.0038902759552001953
10K	dmpp	949	100.0	0.0040628910064697266
10K	dmpp	954	100.0	0.0037679672241210938
10K	dmpp	959	100.0	0.004008293151855469
10K	dmpp	964	100.0	0.004628658294677734
10K	dmpp	969	100.0	0.003931283950805664
10K	dmpp	974	100.0	0.005991697311401367
10K	dmpp	979	100.0	0.003857851028442383
10K	dmpp	984	100.0	0.003790616989135742
10K	dmpp	989	100.0	0.003688335418701172
10K	dmpp	994	100.0	0.0035953521728515625
10K	dmpp	999	100.0	0.0036656856536865234
10K	dmpp	1004	100.0	0.03927922248840332
10K	dmpp	1009	100.0	0.03993344306945801
10K	dmpp	1014	100.0	0.025083303451538086
10K	dmpp	1019	100.0	0.025055885314941406
10K	dmpp	1024	100.0	0.00559544563293457
10K	dmpp	1029	100.0	0.0031981468200683594
10K	dmpp	1034	100.0	0.005597352981567383
10K	dmpp	1039	100.0	0.0029010772705078125
10K	dmpp	1044	100.0	0.003884553909301758
10K	dmpp	1049	100.0	0.0030336380004882812
10K	dmpp	1054	70.0	0.005032539367675781
10K	dmpp	1059	100.0	0.0032002925872802734
10K	dmpp	1064	100.0	0.0029075145721435547
10K	dmpp	1069	100.0	0.004311800003051758
10K	dmpp	1074	100.0	0.004328250885009766
10K	dmpp	1079	100.0	0.01977849006652832
10K	dmpp	1084	100.0	0.004049062728881836
10K	dmpp	1089	95.0	0.010337114334106445
10K	dmpp	1094	96.0	0.008592367172241211
10K	dmpp	1099	100.0	0.004057168960571289
10K	dmpp	1104	100.0	0.003983736038208008
10K	dmpp	1109	100.0	0.004241228103637695
10K	dmpp	1114	95.0	0.010730743408203125
10K	dmpp	1119	100.0	0.0037276744842529297
10K	dmpp	1124	100.0	0.003949403762817383
10K	dmpp	1129	100.0	0.0040056705474853516
10K	dmpp	1134	100.0	0.003829479217529297
10K	dmpp	1139	100.0	0.0031845569610595703
10K	dmpp	1144	100.0	0.004277706146240234
10K	dmpp	1149	99.0	0.004232883453369141
10K	dmpp	1154	100.0	0.003684520721435547
10K	dmpp	1159	100.0	0.0038847923278808594
10K	dmpp	1164	96.0	0.009715795516967773
10K	dmpp	1169	100.0	0.003972530364990234
10K	dmpp	1174	100.0	0.0038874149322509766
10K	dmpp	1179	98.0	0.005312204360961914
10K	dmpp	1184	100.0	0.0042645931243896484
10K	dmpp	1189	100.0	0.004736661911010742
10K	dmpp	1194	100.0	0.004160165786743164
10K	dmpp	1199	100.0	0.003995418548583984
10K	dmpp	1204	100.0	0.0033702850341796875
10K	dmpp	1209	100.0	0.015904903411865234
10K	dmpp	1214	100.0	0.004170417785644531
10K	dmpp	1219	100.0	0.0036072731018066406
10K	dmpp	1224	100.0	0.0043179988861083984
10K	dmpp	1229	100.0	0.004062175750732422
10K	dmpp	1234	94.0	0.012395381927490234
10K	dmpp	1239	100.0	0.003757953643798828
10K	dmpp	1244	100.0	0.003927946090698242
10K	dmpp	1249	100.0	0.004006147384643555
10K	dmpp	1254	100.0	0.0037555694580078125
10K	dmpp	1259	97.0	0.006166696548461914
10K	dmpp	1264	100.0	0.003941059112548828
10K	dmpp	1269	100.0	0.0039942264556884766
10K	dmpp	1274	100.0	0.003930568695068359
10K	dmpp	1279	100.0	0.003745555877685547
10K	dmpp	1284	100.0	0.004264354705810547
10K	dmpp	1289	94.0	0.013143301010131836
10K	dmpp	1294	100.0	0.004047393798828125
10K	dmpp	1299	100.0	0.003928422927856445
10K	dmpp	1304	100.0	0.004038810729980469
10K	dmpp	1309	100.0	0.004395246505737305
10K	dmpp	1314	93.0	0.014905929565429688
10K	dmpp	1319	100.0	0.003857135772705078
10K	dmpp	1324	100.0	0.004159688949584961
10K	dmpp	1329	100.0	0.0040895938873291016
10K	dmpp	1334	100.0	0.007925748825073242
10K	dmpp	1339	100.0	0.00394749641418457
10K	dmpp	1344	100.0	0.0038580894470214844
10K	dmpp	1349	100.0	0.004172325134277344
10K	dmpp	1354	100.0	0.005974292755126953
10K	dmpp	1359	100.0	0.003218412399291992
10K	dmpp	1364	100.0	0.0038955211639404297
10K	dmpp	1369	100.0	0.004010438919067383
10K	dmpp	1374	100.0	0.00394892692565918
10K	dmpp	1379	100.0	0.003997802734375
10K	dmpp	1384	100.0	0.003906965255737305
10K	dmpp	1389	100.0	0.0042073726654052734
10K	dmpp	1394	100.0	0.00439763069152832
10K	dmpp	1399	100.0	0.0038924217224121094
10K	dmpp	1404	100.0	0.004300594329833984
10K	dmpp	1409	100.0	0.01556706428527832
10K	dmpp	1414	100.0	0.0037262439727783203
10K	dmpp	1419	100.0	0.00404047966003418
10K	dmpp	1424	100.0	0.003932476043701172
10K	dmpp	1429	100.0	0.003987789154052734
10K	dmpp	1434	100.0	0.0038955211639404297
10K	dmpp	1439	100.0	0.003996133804321289
10K	dmpp	1444	100.0	0.004050731658935547
10K	dmpp	1449	99.0	0.004317760467529297
10K	dmpp	1454	100.0	0.004166126251220703
10K	dmpp	1459	95.0	0.010231256484985352
10K	dmpp	1464	100.0	0.00406646728515625
10K	dmpp	1469	100.0	0.012435674667358398
10K	dmpp	1474	100.0	0.0037860870361328125
10K	dmpp	1479	100.0	0.0037856101989746094
10K	dmpp	1484	100.0	0.005240440368652344
10K	dmpp	1489	100.0	0.0041046142578125
10K	dmpp	1494	100.0	0.003742218017578125
10K	dmpp	1499	100.0	0.0037641525268554688
10K	dmpp	1504	97.0	0.007637977600097656
10K	dmpp	1509	100.0	0.004074573516845703
10K	dmpp	1514	100.0	0.0037965774536132812
10K	dmpp	1519	100.0	0.003893613815307617
10K	dmpp	1524	100.0	0.003755331039428711
10K	dmpp	1529	96.0	0.009369611740112305
10K	dmpp	1534	100.0	0.056313276290893555
10K	dmpp	1539	97.0	0.00771784782409668
10K	dmpp	1544	100.0	0.003824949264526367
10K	dmpp	1549	100.0	0.010724067687988281
10K	dmpp	1554	100.0	0.0037431716918945312
