tool	group_col	run	elapsed_sec	user_sec	sys_sec	cpu_percent	max_rss_kb	exit_status
wgbstools	group_2	1	1193.15	1183.88	9.34	100	196164	0
wgbstools	group_2	2	1193.3	1184.12	9.25	100	196212	0
wgbstools	group_2	3	1208.43	1199.33	9.18	100	196220	0
wgbstools	group_4	1	1188.15	1179.16	9.07	100	161992	0
wgbstools	group_4	2	1196.83	1187.75	9.15	100	161988	0
wgbstools	group_4	3	1191.88	1182.85	9.10	100	161972	0
wgbstools	group_8	1	1190.51	1181.39	9.20	100	152984	0
wgbstools	group_8	2	1177.8	1168.61	9.21	100	152748	0
wgbstools	group_8	3	1199.38	1190.12	9.35	100	152800	0
wgbstools	group_16	1	1182.6	1173.50	9.17	100	146896	0
wgbstools	group_16	2	1195.59	1186.50	9.15	100	147916	0
wgbstools	group_16	3	1186.54	1177.38	9.23	100	147916	0
wgbstools	group_32	1	1202.3	1193.23	9.15	100	153620	0
wgbstools	group_32	2	1185.15	1175.85	9.37	100	153608	0
wgbstools	group_32	3	1194.39	1185.32	9.15	100	153620	0
wgbstools	group_64	1	1180.22	1171.18	9.12	100	171556	0
wgbstools	group_64	2	1189.62	1180.48	9.21	100	171556	0
wgbstools	group_64	3	1190.77	1181.67	9.16	100	171572	0
