ballc	wgbstools	dmpp_dedup	dmpp_bam
mCFrac	ENCFF072EDU.dedup	mean_meth	mean_meth
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	1.000000	1.000000
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
0.959184	0.755102	0.755102	0.755102
0.800000	0.600000	0.600000	0.600000
1.000000	0.555556	0.555556	0.600000
1.000000	0.923077	0.923077	0.923077
NA	NA	NA	NA
NA	NA	NA	NA
1.000000	1.000000	1.000000	1.000000
0.800000	0.636364	0.583333	0.583333
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
1.000000	NA	1.000000	1.000000
0.733333	0.700000	0.700000	0.700000
NA	NA	NA	NA
0.000000	NA	0.000000	0.000000
0.571429	0.428571	0.461538	0.461538
0.897436	0.717949	0.659574	0.659574
0.830303	0.650307	0.634731	0.609195
0.796610	0.677966	0.666667	0.666667
0.803922	0.653333	0.649351	0.645161
0.791667	0.631206	0.618056	0.613793
0.805882	0.634731	0.619883	0.595506
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
0.666667	0.348624	0.348624	0.296296
NA	NA	NA	NA
NA	NA	NA	NA
0.707692	0.421875	0.421875	0.421875
0.689189	0.527027	0.527027	0.527027
0.656250	0.343750	0.343750	0.343750
0.884615	0.846154	0.866667	0.857143
0.571429	0.220588	0.217391	0.217391
0.704918	0.355932	0.344262	0.344262
0.483871	0.064516	0.064516	0.068966
0.728814	0.368421	0.368421	0.368421
0.895238	0.733333	0.726415	0.726415
0.632479	0.181034	0.177966	0.177966
0.836364	0.688073	0.684685	0.684685
0.750000	0.426667	0.383721	0.380952
0.761364	0.482759	0.488636	0.488372
0.581967	0.099174	0.096774	0.090278
0.554348	0.076503	0.075269	0.072816
0.851064	0.747368	0.731959	0.755319
0.844884	0.678808	0.670886	0.670886
0.460733	0.010363	0.009709	0.009709
0.550265	0.000000	0.000000	0.000000
0.467606	0.005618	0.005376	0.005376
0.921053	0.819231	0.811808	0.809886
0.524324	0.109890	0.104712	0.100529
0.819277	0.695122	0.678571	0.678571
0.932692	0.873786	0.873786	0.873786
0.666667	0.131250	0.157895	0.147541
0.549383	0.236364	0.234940	0.224138
0.769231	0.372549	0.372549	0.372549
0.706767	0.415385	0.411985	0.409962
0.800000	0.600000	0.604938	0.604938
0.813953	0.601562	0.596899	0.596899
0.890411	0.643836	0.635135	0.635135
0.656250	0.343750	0.380952	0.380952
0.681818	0.444444	0.454545	0.454545
0.850000	0.688312	0.679487	0.679487
0.756250	0.518750	0.515528	0.518519
0.750000	0.345133	0.354331	0.360656
0.900000	0.727273	0.720721	0.747664
0.811475	0.550964	0.545692	0.545692
0.580645	0.123457	0.122449	0.122449
0.568966	0.368421	0.400000	0.400000
0.968254	0.909574	0.906250	0.911458
0.612245	0.500000	0.494949	0.494949
0.578313	0.167702	0.164634	0.164634
0.931818	0.862595	0.849624	0.843284
0.922222	0.784091	0.786517	0.786517
0.931034	0.905172	0.905172	0.896552
0.450593	0.020080	0.020080	0.020080
0.541284	0.224299	0.229358	0.225225
0.972973	0.891892	0.891720	0.889610
0.943662	0.854167	0.854167	0.853147
0.687500	0.436364	0.437500	0.437500
0.798913	0.661202	0.657609	0.647059
0.689655	0.033333	0.033333	0.033333
0.936306	0.909677	0.902778	0.902778
0.770000	0.525253	0.520000	0.520000
0.743017	0.483333	0.480663	0.480663
0.878641	0.768116	0.760766	0.762136
0.602564	0.265217	0.253275	0.253275
0.660287	0.210784	0.208738	0.208738
0.773438	0.458167	0.449612	0.449612
0.692308	0.307292	0.301790	0.305699
0.690789	0.351171	0.346405	0.346405
0.853659	0.666667	0.655738	0.647059
0.874372	0.695431	0.693467	0.693467
