sample	step	tool	input_route	task	run	status	user_sec	system_sec	wall_sec	max_rss_kb	log
ENCFF072EDU	call_methylation	allcools	dedup_bam	call_methylation_allc_dedup	1	OK	5586.00	104.50	4506.000000	799264	benchmark_out/ENCFF072EDU/logs/call_methylation_allc_dedup.log
ENCFF072EDU	call_methylation	allcools	dedup_bam	call_methylation_ballc_from_allc_dedup	1	OK	1763.85	3.73	1780.630000	27740	benchmark_out/ENCFF072EDU/logs/call_methylation_ballc_from_allc_dedup.log
ENCFF072EDU	call_methylation	dmpp	raw_bam_internal_dedup	call_methylation_dmpp_bam	1	OK	2559.96	21.42	812.900000	22366464	benchmark_out/ENCFF072EDU/logs/call_methylation_dmpp_bam.log
ENCFF072EDU	call_methylation	dmpp	dedup_bam	call_methylation_dmpp_dedup	1	OK	2454.91	20.89	786.930000	19838804	benchmark_out/ENCFF072EDU/logs/call_methylation_dmpp_dedup.log
ENCFF072EDU	call_methylation	wgbstools	dedup_bam	call_methylation_wgbstools_dedup	1	OK	4912.08	647.66	5857.000000	1003288	benchmark_out/ENCFF072EDU/logs/call_methylation_wgbstools_dedup.log
ENCFF072EDU	consistency_check	allcools	dedup_bam	consistency_promoter_ballc	1	OK	5221.61	1183.16	1076.020000	58464	benchmark_out/ENCFF072EDU/logs/consistency_promoter_ballc.log
ENCFF072EDU	consistency_check	dmpp	raw_bam_internal_dedup	consistency_promoter_dmpp_bam	1	OK	47.65	0.31	50.910000	45704	benchmark_out/ENCFF072EDU/logs/consistency_promoter_dmpp_bam.log
ENCFF072EDU	consistency_check	dmpp	dedup_bam	consistency_promoter_dmpp_dedup	1	OK	47.89	0.32	53.650000	45696	benchmark_out/ENCFF072EDU/logs/consistency_promoter_dmpp_dedup.log
ENCFF072EDU	consistency_check	wgbstools	dedup_bam	consistency_promoter_wgbstools	1	OK	9.19	0.19	11.140000	200500	benchmark_out/ENCFF072EDU/logs/consistency_promoter_wgbstools.log
ENCFF072EDU	dedup_bam	sambamba	raw_bam	dedup_bam_sambamba	1	OK	2940.18	62.41	1359.620000	3135096	benchmark_out/ENCFF072EDU/logs/dedup_bam_sambamba.log
ENCFF072EDU	dedup_bam	samtools	dedup_bam	index_dedup_bam	1	OK	243.58	7.78	33.140000	34328	benchmark_out/ENCFF072EDU/logs/index_dedup_bam.log
ENCFF072EDU	prepare_genome	allcools	dedup_bam	prepare_genome_allc	1	SKIP	NA	NA	NA	NA	benchmark_out/ENCFF072EDU/logs/prepare_genome_allc.log
ENCFF072EDU	prepare_genome	allcools	dedup_bam	prepare_genome_ballc_cmeta	1	OK	968.01	34.83	3304.320000	268108	benchmark_out/ENCFF072EDU/logs/prepare_genome_ballc_cmeta.log
ENCFF072EDU	prepare_genome	dmpp	NA	prepare_genome_dmpp	1	SKIP	NA	NA	NA	NA	benchmark_out/ENCFF072EDU/logs/prepare_genome_dmpp.log
ENCFF072EDU	prepare_genome	wgbstools	dedup_bam	prepare_genome_wgbstools	1	OK	130.01	15.90	70.020000	3002864	benchmark_out/ENCFF072EDU/logs/prepare_genome_wgbstools.log
ENCFF072EDU	prepare_promoter_bed	wgbstools	dedup_bam	prepare_promoter_bed_wgbstools	1	OK	39.01	0.53	35.200000	101580	benchmark_out/ENCFF072EDU/logs/prepare_promoter_bed_wgbstools.log
