sample	step	tool	input_route	task	run	status	user_sec	system_sec	wall_sec	max_rss_kb	log
ENCFF980QLU	call_methylation	allcools	dedup_bam	call_methylation_allc_dedup	1	OK	8653.41	141.41	5268.000000	804060	benchmark_out/ENCFF980QLU/logs/call_methylation_allc_dedup.log
ENCFF980QLU	call_methylation	allcools	dedup_bam	call_methylation_ballc_from_allc_dedup	1	OK	2147.97	3.75	2168.220000	28320	benchmark_out/ENCFF980QLU/logs/call_methylation_ballc_from_allc_dedup.log
ENCFF980QLU	call_methylation	dmpp	raw_bam_internal_dedup	call_methylation_dmpp_bam	1	OK	7385.99	64.85	2002.620000	24649736	benchmark_out/ENCFF980QLU/logs/call_methylation_dmpp_bam.log
ENCFF980QLU	call_methylation	dmpp	dedup_bam	call_methylation_dmpp_dedup	1	OK	6951.47	71.47	1652.730000	22358576	benchmark_out/ENCFF980QLU/logs/call_methylation_dmpp_dedup.log
ENCFF980QLU	call_methylation	wgbstools	dedup_bam	call_methylation_wgbstools_dedup	1	OK	15327.43	1272.04	4727.000000	1005648	benchmark_out/ENCFF980QLU/logs/call_methylation_wgbstools_dedup.log
ENCFF980QLU	consistency_check	allcools	dedup_bam	consistency_promoter_ballc	1	OK	5437.57	1224.66	1370.410000	62372	benchmark_out/ENCFF980QLU/logs/consistency_promoter_ballc.log
ENCFF980QLU	consistency_check	dmpp	raw_bam_internal_dedup	consistency_promoter_dmpp_bam	1	OK	53.77	0.39	57.430000	48484	benchmark_out/ENCFF980QLU/logs/consistency_promoter_dmpp_bam.log
ENCFF980QLU	consistency_check	dmpp	dedup_bam	consistency_promoter_dmpp_dedup	1	OK	53.66	0.42	59.560000	48496	benchmark_out/ENCFF980QLU/logs/consistency_promoter_dmpp_dedup.log
ENCFF980QLU	consistency_check	wgbstools	dedup_bam	consistency_promoter_wgbstools	1	OK	9.17	0.19	11.660000	200756	benchmark_out/ENCFF980QLU/logs/consistency_promoter_wgbstools.log
ENCFF980QLU	dedup_bam	sambamba	raw_bam	dedup_bam_sambamba	1	OK	18113.85	221.77	5015.000000	5968472	benchmark_out/ENCFF980QLU/logs/dedup_bam_sambamba.log
ENCFF980QLU	dedup_bam	samtools	dedup_bam	index_dedup_bam	1	OK	1171.95	31.42	139.680000	44416	benchmark_out/ENCFF980QLU/logs/index_dedup_bam.log
ENCFF980QLU	prepare_genome	allcools	dedup_bam	prepare_genome_allc	1	SKIP	NA	NA	NA	NA	benchmark_out/ENCFF980QLU/logs/prepare_genome_allc.log
ENCFF980QLU	prepare_genome	allcools	dedup_bam	prepare_genome_ballc_cmeta	1	OK	965.11	42.11	3985.000000	266680	benchmark_out/ENCFF980QLU/logs/prepare_genome_ballc_cmeta.log
ENCFF980QLU	prepare_genome	dmpp	NA	prepare_genome_dmpp	1	SKIP	NA	NA	NA	NA	benchmark_out/ENCFF980QLU/logs/prepare_genome_dmpp.log
ENCFF980QLU	prepare_genome	wgbstools	dedup_bam	prepare_genome_wgbstools	1	OK	144.92	17.01	85.480000	3298392	benchmark_out/ENCFF980QLU/logs/prepare_genome_wgbstools.log
ENCFF980QLU	prepare_promoter_bed	wgbstools	dedup_bam	prepare_promoter_bed_wgbstools	1	OK	39.09	0.54	35.350000	101876	benchmark_out/ENCFF980QLU/logs/prepare_promoter_bed_wgbstools.log
ENCFF980QLU	calculate_promoter_methylation	allcools	dedup_bam	query_promoter_ballc_run1	1	OK	5425.43	1218.21	1358.400000	61512	benchmark_out/ENCFF980QLU/logs/query_promoter_ballc_run1.log
ENCFF980QLU	calculate_promoter_methylation	allcools	dedup_bam	query_promoter_ballc_run2	2	OK	5444.61	1223.80	1364.410000	63104	benchmark_out/ENCFF980QLU/logs/query_promoter_ballc_run2.log
ENCFF980QLU	calculate_promoter_methylation	allcools	dedup_bam	query_promoter_ballc_run3	3	OK	5459.32	1226.64	1389.230000	61328	benchmark_out/ENCFF980QLU/logs/query_promoter_ballc_run3.log
ENCFF980QLU	calculate_promoter_methylation	dmpp	raw_bam_internal_dedup	query_promoter_dmpp_bam_run1	1	OK	53.93	0.40	57.030000	48516	benchmark_out/ENCFF980QLU/logs/query_promoter_dmpp_bam_run1.log
ENCFF980QLU	calculate_promoter_methylation	dmpp	raw_bam_internal_dedup	query_promoter_dmpp_bam_run2	2	OK	53.70	0.34	57.180000	48448	benchmark_out/ENCFF980QLU/logs/query_promoter_dmpp_bam_run2.log
ENCFF980QLU	calculate_promoter_methylation	dmpp	raw_bam_internal_dedup	query_promoter_dmpp_bam_run3	3	OK	53.81	0.39	57.110000	48432	benchmark_out/ENCFF980QLU/logs/query_promoter_dmpp_bam_run3.log
ENCFF980QLU	calculate_promoter_methylation	dmpp	dedup_bam	query_promoter_dmpp_dedup_run1	1	OK	53.82	0.39	63.420000	48332	benchmark_out/ENCFF980QLU/logs/query_promoter_dmpp_dedup_run1.log
ENCFF980QLU	calculate_promoter_methylation	dmpp	dedup_bam	query_promoter_dmpp_dedup_run2	2	OK	53.87	0.36	56.610000	48212	benchmark_out/ENCFF980QLU/logs/query_promoter_dmpp_dedup_run2.log
ENCFF980QLU	calculate_promoter_methylation	dmpp	dedup_bam	query_promoter_dmpp_dedup_run3	3	OK	53.75	0.38	59.550000	48520	benchmark_out/ENCFF980QLU/logs/query_promoter_dmpp_dedup_run3.log
ENCFF980QLU	calculate_promoter_methylation	wgbstools	dedup_bam	query_promoter_wgbstools_run1	1	OK	9.12	0.18	10.670000	200540	benchmark_out/ENCFF980QLU/logs/query_promoter_wgbstools_run1.log
ENCFF980QLU	calculate_promoter_methylation	wgbstools	dedup_bam	query_promoter_wgbstools_run2	2	OK	9.21	0.20	9.800000	200700	benchmark_out/ENCFF980QLU/logs/query_promoter_wgbstools_run2.log
ENCFF980QLU	calculate_promoter_methylation	wgbstools	dedup_bam	query_promoter_wgbstools_run3	3	OK	9.01	0.15	10.110000	200568	benchmark_out/ENCFF980QLU/logs/query_promoter_wgbstools_run3.log
