chrom	start	end	mc	cov	mean_meth	context
Chr1	22	182	0	0	NA	CHG
Chr1	191	386	0	0	NA	CHG
Chr1	390	676	0	0	NA	CHG
Chr1	707	937	0	0	NA	CHG
Chr1	939	1519	0	0	NA	CHG
Chr1	1522	3019	0	0	NA	CHG
Chr1	3148	3182	0	0	NA	CHG
Chr1	7443	7464	0	0	NA	CHG
Chr1	7469	7480	0	0	NA	CHG
Chr1	11144	11157	0	0	NA	CHG
Chr1	11822	11851	0	0	NA	CHG
Chr1	13125	13138	0	0	NA	CHG
Chr1	14029	14038	0	0	NA	CHG
Chr1	14437	14446	0	20	0.000000	CHG
Chr1	14790	14799	0	0	NA	CHG
Chr1	15138	15152	0	0	NA	CHG
Chr1	16499	16510	0	0	NA	CHG
Chr1	16512	16521	0	0	NA	CHG
Chr1	16813	16824	0	0	NA	CHG
Chr1	19037	19048	0	0	NA	CHG
Chr1	19708	19717	0	0	NA	CHG
Chr1	19856	19865	0	0	NA	CHG
Chr1	19957	19974	0	0	NA	CHG
Chr1	19981	19992	0	0	NA	CHG
Chr1	22698	22707	0	0	NA	CHG
Chr1	23531	23540	0	0	NA	CHG
Chr1	23663	23684	0	0	NA	CHG
Chr1	23843	23852	0	0	NA	CHG
Chr1	32235	32248	0	0	NA	CHG
Chr1	40889	40924	0	0	NA	CHG
Chr1	44514	44537	0	0	NA	CHG
Chr1	44705	44720	0	0	NA	CHG
Chr1	65500	65523	0	0	NA	CHG
Chr1	68026	68046	0	0	NA	CHG
Chr1	72487	72496	0	0	NA	CHG
Chr1	75503	75520	0	0	NA	CHG
Chr1	81137	81146	0	0	NA	CHG
Chr1	82262	82275	0	0	NA	CHG
Chr1	82706	82719	0	0	NA	CHG
Chr1	84199	84208	0	0	NA	CHG
Chr1	99195	99206	0	7	0.000000	CHG
Chr1	100342	100356	0	0	NA	CHG
Chr1	104992	105013	0	13	0.000000	CHG
Chr1	106520	106529	0	0	NA	CHG
Chr1	110165	110174	0	0	NA	CHG
Chr1	112229	112238	0	0	NA	CHG
Chr1	113588	113605	0	0	NA	CHG
Chr1	114208	114219	0	6	0.000000	CHG
Chr1	120091	120105	0	0	NA	CHG
Chr1	124683	124692	0	0	NA	CHG
Chr1	133660	133669	0	0	NA	CHG
Chr1	137459	137468	0	0	NA	CHG
Chr1	138967	138976	0	0	NA	CHG
Chr1	142277	142292	0	0	NA	CHG
Chr1	142729	142738	0	0	NA	CHG
Chr1	145269	145288	0	0	NA	CHG
Chr1	146163	146172	0	0	NA	CHG
Chr1	146475	146490	0	0	NA	CHG
Chr1	146883	146894	0	0	NA	CHG
Chr1	153785	153794	0	11	0.000000	CHG
Chr1	154204	154228	0	0	NA	CHG
Chr1	162265	162274	0	0	NA	CHG
Chr1	164129	164146	0	5	0.000000	CHG
Chr1	167318	167335	0	0	NA	CHG
Chr1	171853	171867	0	0	NA	CHG
Chr1	172245	172254	0	0	NA	CHG
Chr1	172421	172434	0	12	0.000000	CHG
Chr1	176060	176069	0	0	NA	CHG
Chr1	182184	182195	0	0	NA	CHG
Chr1	182433	182444	0	0	NA	CHG
Chr1	183086	183095	0	0	NA	CHG
Chr1	185191	185208	0	0	NA	CHG
Chr1	185302	185315	0	0	NA	CHG
Chr1	185456	185467	0	6	0.000000	CHG
Chr1	185485	185508	0	0	NA	CHG
Chr1	185516	185531	0	0	NA	CHG
Chr1	185970	185987	0	0	NA	CHG
Chr1	188276	188295	0	0	NA	CHG
Chr1	189873	189886	0	0	NA	CHG
Chr1	192700	192711	0	0	NA	CHG
Chr1	195707	195724	0	0	NA	CHG
Chr1	198454	198463	0	0	NA	CHG
Chr1	207242	207251	0	11	0.000000	CHG
Chr1	212511	212524	0	0	NA	CHG
Chr1	217132	217141	0	0	NA	CHG
Chr1	217239	217248	0	0	NA	CHG
Chr1	221952	221963	0	0	NA	CHG
Chr1	229855	229872	0	0	NA	CHG
Chr1	230434	230447	0	0	NA	CHG
Chr1	231459	231470	0	0	NA	CHG
Chr1	238326	238335	0	0	NA	CHG
Chr1	240906	240917	0	0	NA	CHG
Chr1	240955	240966	0	0	NA	CHG
Chr1	242724	242733	0	0	NA	CHG
Chr1	243088	243097	0	0	NA	CHG
Chr1	249850	249869	0	0	NA	CHG
Chr1	250285	250302	0	0	NA	CHG
Chr1	252313	252326	0	0	NA	CHG
Chr1	259465	259480	0	0	NA	CHG
Chr1	262300	262314	0	17	0.000000	CHG
Chr1	264258	264267	0	0	NA	CHG
