chrom	start	end	mc	cov	mean_meth	context
Chr1	22	182	0	0	NA	CG
Chr1	191	386	0	0	NA	CG
Chr1	390	676	0	0	NA	CG
Chr1	707	937	0	0	NA	CG
Chr1	939	1519	0	0	NA	CG
Chr1	1522	3019	0	0	NA	CG
Chr1	3148	3182	0	0	NA	CG
Chr1	7443	7464	0	0	NA	CG
Chr1	7469	7480	0	0	NA	CG
Chr1	11144	11157	0	0	NA	CG
Chr1	11822	11851	0	0	NA	CG
Chr1	13125	13138	0	0	NA	CG
Chr1	14029	14038	0	0	NA	CG
Chr1	14437	14446	0	0	NA	CG
Chr1	14790	14799	0	0	NA	CG
Chr1	15138	15152	0	0	NA	CG
Chr1	16499	16510	0	0	NA	CG
Chr1	16512	16521	0	0	NA	CG
Chr1	16813	16824	0	0	NA	CG
Chr1	19037	19048	0	0	NA	CG
Chr1	19708	19717	0	0	NA	CG
Chr1	19856	19865	0	0	NA	CG
Chr1	19957	19974	0	0	NA	CG
Chr1	19981	19992	0	0	NA	CG
Chr1	22698	22707	0	0	NA	CG
Chr1	23531	23540	0	0	NA	CG
Chr1	23663	23684	0	0	NA	CG
Chr1	23843	23852	0	0	NA	CG
Chr1	32235	32248	0	0	NA	CG
Chr1	40889	40924	0	0	NA	CG
Chr1	44514	44537	0	0	NA	CG
Chr1	44705	44720	0	0	NA	CG
Chr1	65500	65523	0	0	NA	CG
Chr1	68026	68046	0	0	NA	CG
Chr1	72487	72496	0	0	NA	CG
Chr1	75503	75520	0	0	NA	CG
Chr1	81137	81146	0	0	NA	CG
Chr1	82262	82275	0	0	NA	CG
Chr1	82706	82719	0	0	NA	CG
Chr1	84199	84208	0	0	NA	CG
Chr1	99195	99206	0	0	NA	CG
Chr1	100342	100356	0	0	NA	CG
Chr1	104992	105013	0	0	NA	CG
Chr1	106520	106529	0	0	NA	CG
Chr1	110165	110174	0	0	NA	CG
Chr1	112229	112238	0	0	NA	CG
Chr1	113588	113605	0	0	NA	CG
Chr1	114208	114219	0	0	NA	CG
Chr1	120091	120105	0	0	NA	CG
Chr1	124683	124692	0	0	NA	CG
Chr1	133660	133669	0	0	NA	CG
Chr1	137459	137468	0	0	NA	CG
Chr1	138967	138976	0	0	NA	CG
Chr1	142277	142292	0	0	NA	CG
Chr1	142729	142738	0	0	NA	CG
Chr1	145269	145288	0	0	NA	CG
Chr1	146163	146172	0	0	NA	CG
Chr1	146475	146490	0	0	NA	CG
Chr1	146883	146894	0	0	NA	CG
Chr1	153785	153794	0	0	NA	CG
Chr1	154204	154228	0	0	NA	CG
Chr1	162265	162274	0	0	NA	CG
Chr1	164129	164146	0	0	NA	CG
Chr1	167318	167335	0	0	NA	CG
Chr1	171853	171867	0	0	NA	CG
Chr1	172245	172254	0	0	NA	CG
Chr1	172421	172434	0	0	NA	CG
Chr1	176060	176069	0	0	NA	CG
Chr1	182184	182195	0	0	NA	CG
Chr1	182433	182444	0	0	NA	CG
Chr1	183086	183095	0	0	NA	CG
Chr1	185191	185208	0	0	NA	CG
Chr1	185302	185315	0	0	NA	CG
Chr1	185456	185467	0	0	NA	CG
Chr1	185485	185508	0	0	NA	CG
Chr1	185516	185531	0	0	NA	CG
Chr1	185970	185987	0	0	NA	CG
Chr1	188276	188295	0	0	NA	CG
Chr1	189873	189886	0	0	NA	CG
Chr1	192700	192711	0	0	NA	CG
Chr1	195707	195724	0	0	NA	CG
Chr1	198454	198463	0	0	NA	CG
Chr1	207242	207251	0	0	NA	CG
Chr1	212511	212524	0	0	NA	CG
Chr1	217132	217141	0	0	NA	CG
Chr1	217239	217248	0	0	NA	CG
Chr1	221952	221963	0	0	NA	CG
Chr1	229855	229872	0	0	NA	CG
Chr1	230434	230447	0	0	NA	CG
Chr1	231459	231470	0	0	NA	CG
Chr1	238326	238335	0	0	NA	CG
Chr1	240906	240917	0	0	NA	CG
Chr1	240955	240966	0	0	NA	CG
Chr1	242724	242733	0	0	NA	CG
Chr1	243088	243097	0	0	NA	CG
Chr1	249850	249869	0	0	NA	CG
Chr1	250285	250302	0	11	0.000000	CG
Chr1	252313	252326	0	0	NA	CG
Chr1	259465	259480	0	0	NA	CG
Chr1	262300	262314	0	0	NA	CG
Chr1	264258	264267	0	0	NA	CG
Chr1	267160	267169	0	0	NA	CG
Chr1	271515	271524	0	0	NA	CG
Chr1	273653	274208	0	0	NA	CG
Chr1	275233	275256	0	0	NA	CG
Chr1	286236	286257	0	0	NA	CG
Chr1	299064	299084	0	0	NA	CG
Chr1	299906	299915	0	0	NA	CG
Chr1	301829	301848	0	0	NA	CG
Chr1	307213	307228	0	0	NA	CG
Chr1	313866	313875	0	0	NA	CG
Chr1	318687	318696	0	0	NA	CG
Chr1	323453	323470	0	0	NA	CG
Chr1	333562	333575	0	0	NA	CG
Chr1	347067	347081	0	0	NA	CG
Chr1	351673	351687	0	0	NA	CG
Chr1	358272	358307	0	0	NA	CG
Chr1	359173	359190	0	0	NA	CG
Chr1	359824	359837	0	0	NA	CG
Chr1	359848	359868	0	0	NA	CG
Chr1	367735	367746	0	0	NA	CG
Chr1	367978	367991	0	0	NA	CG
Chr1	368155	368164	0	0	NA	CG
Chr1	368772	368781	0	0	NA	CG
Chr1	369136	369147	0	0	NA	CG
Chr1	369189	369198	0	0	NA	CG
Chr1	369487	369501	0	0	NA	CG
Chr1	370290	370299	0	0	NA	CG
Chr1	370476	370497	0	0	NA	CG
Chr1	370561	370575	0	0	NA	CG
Chr1	371136	371153	0	0	NA	CG
Chr1	373491	373502	0	0	NA	CG
Chr1	374348	374361	0	0	NA	CG
Chr1	377151	377160	0	0	NA	CG
Chr1	389687	389700	0	0	NA	CG
Chr1	395504	395513	0	0	NA	CG
Chr1	396502	396519	0	0	NA	CG
Chr1	403020	403031	0	0	NA	CG
Chr1	405433	405444	0	0	NA	CG
Chr1	407762	407771	0	0	NA	CG
Chr1	414373	414384	0	0	NA	CG
Chr1	421205	421216	0	0	NA	CG
Chr1	424489	424512	0	0	NA	CG
Chr1	424558	424567	0	0	NA	CG
Chr1	425983	425992	0	0	NA	CG
Chr1	431023	431058	0	0	NA	CG
Chr1	449882	449902	0	0	NA	CG
Chr1	450327	450341	0	0	NA	CG
Chr1	464309	464318	0	0	NA	CG
Chr1	472081	472092	0	0	NA	CG
