tool	context	sample_size	rep	region	n_files	elapsed_sec	user_sec	sys_sec	max_rss_kb	exit_status
dmpp_list	CG	1000	0001	chr18:60904687-60905329	1000	20.57	4.09	0.20	13072	0
ballc	CG	1000	0001	chr18:60904687-60905329	1000	99.83	74.13	24.12	35224	0
ballc	CG	1000	0002	chr7:129102492-129103257	1000	97.33	73.50	23.01	35228	0
dmpp_list	CG	1000	0002	chr7:129102492-129103257	1000	4.31	4.06	0.16	13108	0
dmpp_list	CG	1000	0003	chr10:80986092-80987802	1000	4.02	3.77	0.17	13132	0
ballc	CG	1000	0003	chr10:80986092-80987802	1000	97.13	74.27	22.00	35228	0
ballc	CG	1000	0004	chr7:73004751-73004968	1000	97.07	73.63	22.50	35196	0
dmpp_list	CG	1000	0004	chr7:73004751-73004968	1000	4.11	3.85	0.18	13236	0
dmpp_list	CG	1000	0005	chr19:54565849-54566796	1000	4.28	3.96	0.14	13120	0
ballc	CG	1000	0005	chr19:54565849-54566796	1000	95.38	72.48	22.14	35172	0
ballc	CG	1000	0006	chr9:100907369-100908413	1000	95.26	72.75	21.75	35232	0
dmpp_list	CG	1000	0006	chr9:100907369-100908413	1000	4.28	3.95	0.14	13204	0
dmpp_list	CG	1000	0007	chr6:62666358-62666693	1000	4.06	3.88	0.13	15220	0
ballc	CG	1000	0007	chr6:62666358-62666693	1000	94.51	72.90	20.91	35212	0
ballc	CG	1000	0008	chr8:4995081-4995181	1000	94.09	71.78	21.59	35196	0
dmpp_list	CG	1000	0008	chr8:4995081-4995181	1000	4.07	3.87	0.14	13168	0
dmpp_list	CG	1000	0009	chr5:2250505-2250695	1000	4.03	3.83	0.14	13204	0
ballc	CG	1000	0009	chr5:2250505-2250695	1000	94.58	72.32	21.48	35208	0
ballc	CG	1000	0010	chr11:92883107-92883298	1000	91.63	69.76	21.15	35212	0
dmpp_list	CG	1000	0010	chr11:92883107-92883298	1000	4.25	4.02	0.17	13060	0
dmpp_list	CG	1000	0011	chr11:25599990-25600068	1000	4.00	3.85	0.11	13136	0
